Studentid,Group,TPT,TPC,CPC,CPT,Num P,TPT_,TPC_,CPC_,CPT_
19930112,0,1,2,13,1,17,0.058823529,0.117647059,0.764705882,0.058823529
4762120,0,4,4,3,1,12,0.333333333,0.333333333,0.25,0.083333333
66362122,0,4,6,5,1,16,0.25,0.375,0.3125,0.0625
51876107,1,8,3,1,6,18,0.444444444,0.166666667,0.055555556,0.333333333
77882125,0,1,7,0,0,8,0.125,0.875,0,0
51352592,0,1,0,11,0,12,0.083333333,0,0.916666667,0
10009106,0,7,3,1,0,11,0.636363636,0.272727273,0.090909091,0
8889108,0,0,2,11,1,14,0,0.142857143,0.785714286,0.071428571
68995094,1,0,2,4,2,8,0,0.25,0.5,0.25
89337123,1,6,3,2,4,15,0.4,0.2,0.133333333,0.266666667
64153126,1,3,4,7,1,15,0.2,0.266666667,0.466666667,0.066666667
24387118,1,1,8,4,2,15,0.066666667,0.533333333,0.266666667,0.133333333
82243121,0,3,6,3,2,14,0.214285714,0.428571429,0.214285714,0.142857143
39619124,1,1,7,0,3,11,0.090909091,0.636363636,0,0.272727273
69251126,1,4,7,3,1,15,0.266666667,0.466666667,0.2,0.066666667
82616120,0,0,0,9,2,11,0,0,0.818181818,0.181818182
94792123,1,4,2,6,2,14,0.285714286,0.142857143,0.428571429,0.142857143
18893119,0,5,6,3,5,19,0.263157895,0.315789474,0.157894737,0.263157895
60076128,1,0,3,5,2,10,0,0.3,0.5,0.2
41295172,0,0,1,3,0,4,0,0.25,0.75,0
42822113,1,1,4,8,3,16,0.0625,0.25,0.5,0.1875
62935112,0,0,2,5,3,10,0,0.2,0.5,0.3
73538121,1,1,5,3,3,12,0.083333333,0.416666667,0.25,0.25
46231117,1,0,3,5,1,9,0,0.333333333,0.555555556,0.111111111
9331415,0,10,6,2,5,23,0.434782609,0.260869565,0.086956522,0.217391304
91235128,1,1,4,5,1,11,0.090909091,0.363636364,0.454545455,0.090909091
66828119,0,2,1,5,0,8,0.25,0.125,0.625,0
38732121,1,5,6,4,1,16,0.3125,0.375,0.25,0.0625
13378139,1,2,3,2,4,11,0.181818182,0.272727273,0.181818182,0.363636364
38648120,0,2,4,1,2,9,0.222222222,0.444444444,0.111111111,0.222222222
70209120,0,1,3,3,4,11,0.090909091,0.272727273,0.272727273,0.363636364
3932129,0,4,6,3,2,15,0.266666667,0.4,0.2,0.133333333
83841128,1,3,2,2,0,7,0.428571429,0.285714286,0.285714286,0
48107113,0,3,2,6,1,12,0.25,0.166666667,0.5,0.083333333
77984114,0,3,2,9,0,14,0.214285714,0.142857143,0.642857143,0
12235124,0,3,3,7,4,17,0.176470588,0.176470588,0.411764706,0.235294118
12949120,1,5,5,1,2,13,0.384615385,0.384615385,0.076923077,0.153846154
43999105,1,1,5,6,2,14,0.071428571,0.357142857,0.428571429,0.142857143
52041105,1,1,6,1,1,9,0.111111111,0.666666667,0.111111111,0.111111111
42175126,1,3,6,3,0,12,0.25,0.5,0.25,0
62898116,0,4,5,2,2,13,0.307692308,0.384615385,0.153846154,0.153846154
55188124,1,1,3,0,1,5,0.2,0.6,0,0.2
89332129,0,1,4,3,1,9,0.111111111,0.444444444,0.333333333,0.111111111
18088102,1,0,4,8,4,16,0,0.25,0.5,0.25
62238125,1,4,5,1,6,16,0.25,0.3125,0.0625,0.375
10942128,1,0,0,7,0,7,0,0,1,0
23112113,0,0,4,10,0,14,0,0.285714286,0.714285714,0
1075123,1,6,7,1,1,15,0.4,0.466666667,0.066666667,0.066666667
85576116,0,2,2,9,1,14,0.142857143,0.142857143,0.642857143,0.071428571
35155125,0,3,4,9,0,16,0.1875,0.25,0.5625,0
26225080,0,0,3,7,1,11,0,0.272727273,0.636363636,0.090909091
23143099,0,4,7,2,3,16,0.25,0.4375,0.125,0.1875
66472128,0,1,2,14,0,17,0.058823529,0.117647059,0.823529412,0
37842114,1,2,3,1,3,9,0.222222222,0.333333333,0.111111111,0.333333333
61117124,1,1,1,0,1,3,0.333333333,0.333333333,0,0.333333333
85298121,1,5,9,2,0,16,0.3125,0.5625,0.125,0
85458129,0,2,7,5,3,17,0.117647059,0.411764706,0.294117647,0.176470588
3591123,1,2,4,5,1,12,0.166666667,0.333333333,0.416666667,0.083333333
8775127,1,8,6,1,2,17,0.470588235,0.352941176,0.058823529,0.117647059
88156121,1,3,5,4,2,14,0.214285714,0.357142857,0.285714286,0.142857143
14769115,0,2,4,5,4,15,0.133333333,0.266666667,0.333333333,0.266666667
87612126,0,4,6,2,0,12,0.333333333,0.5,0.166666667,0
57521121,0,2,3,4,1,10,0.2,0.3,0.4,0.1
24582121,1,5,10,3,1,19,0.263157895,0.526315789,0.157894737,0.052631579
17070059,0,6,4,1,4,15,0.4,0.266666667,0.066666667,0.266666667
67899116,0,0,5,6,3,14,0,0.357142857,0.428571429,0.214285714
44827119,0,1,4,5,2,12,0.083333333,0.333333333,0.416666667,0.166666667
28582129,1,3,5,3,1,12,0.25,0.416666667,0.25,0.083333333
64687090,1,5,5,3,0,13,0.384615385,0.384615385,0.230769231,0
72794100,1,7,4,4,0,15,0.466666667,0.266666667,0.266666667,0
82885110,0,4,5,11,2,22,0.181818182,0.227272727,0.5,0.090909091
86170104,1,3,2,4,1,10,0.3,0.2,0.4,0.1
64944126,1,2,6,3,2,13,0.153846154,0.461538462,0.230769231,0.153846154
96314111,1,3,4,11,3,21,0.142857143,0.19047619,0.523809524,0.142857143
