SEQ,IG,LH,LL,HH,chi^2,p-val,LH-res,LL-res,HH-res
TbPTbC,0.32,7,8,31,8.146,0.017,-1.31,-1.16,2.85
TbPCPCP,0.31,5,13,31,7.91,0.019,-2.09,-0.15,2.61
TcCTs,0.28,21,30,4,5.603,0.061,0.04,1.82,-2.14
PTsPCTs,0.26,31,5,18,8.224,0.016,2.61,-2.57,-0.08
CPCTsC,0.25,13,36,9,8.291,0.016,-1.5,2.86,-1.54
CPCTcCP,0.23,10,30,9,6.544,0.038,-1.49,2.55,-1.21
TbPCTb,0.23,7,13,31,6.18,0.045,-1.69,-0.36,2.38
TsCTsC,0.22,15,36,9,7.197,0.027,-1.17,2.61,-1.65
CTcCTcCP,0.18,7,30,27,6.473,0.039,-2.53,1.82,0.85
TcCPCP,0.17,7,30,22,6.135,0.047,-2.37,2.05,0.39
TcPTcCTc,0.16,31,19,9,4.322,0.115,1.86,-0.45,-1.65
TsPCPC,0.16,31,19,9,4.322,0.115,1.86,-0.45,-1.65
PTcCTc,0.15,47,33,13,7.056,0.029,2.17,-0.17,-2.33
PTcPTc,0.15,31,25,9,3.902,0.142,1.42,0.19,-1.86
CTsCTs,0.15,26,44,13,6.599,0.037,-0.67,2.35,-1.93
