Studentid,Group,TPT,TPC,CPC,CPT,Num P
19930112,0,1,2,13,1,17
4762120,0,4,4,3,1,12
66362122,0,4,6,5,1,16
51876107,1,8,3,1,6,18
77882125,0,1,7,0,0,8
51352592,0,1,0,11,0,12
10009106,0,7,3,1,0,11
8889108,0,0,2,11,1,14
68995094,1,0,2,4,2,8
89337123,1,6,3,2,4,15
64153126,1,3,4,7,1,15
24387118,1,1,8,4,2,15
82243121,0,3,6,3,2,14
39619124,1,1,7,0,3,11
69251126,1,4,7,3,1,15
82616120,0,0,0,9,2,11
94792123,1,4,2,6,2,14
18893119,0,5,6,3,5,19
60076128,1,0,3,5,2,10
41295172,0,0,1,3,0,4
42822113,1,1,4,8,3,16
62935112,0,0,2,5,3,10
73538121,1,1,5,3,3,12
46231117,1,0,3,5,1,9
9331415,0,10,6,2,5,23
91235128,1,1,4,5,1,11
66828119,0,2,1,5,0,8
38732121,1,5,6,4,1,16
13378139,1,2,3,2,4,11
38648120,0,2,4,1,2,9
70209120,0,1,3,3,4,11
3932129,0,4,6,3,2,15
83841128,1,3,2,2,0,7
48107113,0,3,2,6,1,12
77984114,0,3,2,9,0,14
12235124,0,3,3,7,4,17
12949120,1,5,5,1,2,13
43999105,1,1,5,6,2,14
52041105,1,1,6,1,1,9
42175126,1,3,6,3,0,12
62898116,0,4,5,2,2,13
55188124,1,1,3,0,1,5
89332129,0,1,4,3,1,9
18088102,1,0,4,8,4,16
62238125,1,4,5,1,6,16
10942128,1,0,0,7,0,7
23112113,0,0,4,10,0,14
1075123,1,6,7,1,1,15
85576116,0,2,2,9,1,14
35155125,0,3,4,9,0,16
26225080,0,0,3,7,1,11
23143099,0,4,7,2,3,16
66472128,0,1,2,14,0,17
37842114,1,2,3,1,3,9
61117124,1,1,1,0,1,3
85298121,1,5,9,2,0,16
85458129,0,2,7,5,3,17
3591123,1,2,4,5,1,12
8775127,1,8,6,1,2,17
88156121,1,3,5,4,2,14
14769115,0,2,4,5,4,15
87612126,0,4,6,2,0,12
57521121,0,2,3,4,1,10
24582121,1,5,10,3,1,19
17070059,0,6,4,1,4,15
67899116,0,0,5,6,3,14
44827119,0,1,4,5,2,12
28582129,1,3,5,3,1,12
64687090,1,5,5,3,0,13
72794100,1,7,4,4,0,15
82885110,0,4,5,11,2,22
86170104,1,3,2,4,1,10
64944126,1,2,6,3,2,13
96314111,1,3,4,11,3,21
