Studentid,Group,PT,PC,CP,TP
19930112,LL,2,15,14,3
4762120,LL,5,3,1,8
66362122,LL,5,11,6,10
51876107,LH,14,4,7,11
77882125,LL,1,8,0,9
51352592,LL,1,10,10,1
10009106,LL,7,4,1,10
8889108,LL,1,13,12,2
68995094,LH,2,6,6,2
89337123,LH,10,5,6,9
64153126,LH,4,10,7,7
24387118,LH,3,13,6,10
82243121,LL,5,9,5,9
39619124,LH,4,7,3,8
69251126,LH,5,10,4,11
82616120,LL,2,9,11,0
94792123,LH,6,8,8,6
18893119,LL,10,9,8,11
60076128,LH,3,12,11,4
41295172,LL,0,4,3,1
42822113,LH,4,14,13,5
62935112,LL,3,7,8,3
73538121,LH,4,5,4,6
46231117,LH,1,8,6,3
9331415,LL,15,8,7,16
91235128,LH,2,8,6,5
66828119,LL,2,6,5,3
38732121,LH,6,10,5,11
13378139,LH,6,5,7,5
38648120,LL,4,5,3,6
70209120,LL,5,6,7,4
3932129,LL,6,8,5,10
83841128,LH,3,5,3,5
48107113,LL,4,8,7,5
77984114,LL,3,8,6,5
12235124,LL,7,14,13,7
12949120,LH,7,6,3,11
43999105,LH,3,11,8,7
52041105,LH,2,7,2,7
42175126,LH,3,9,3,9
62898116,LL,6,7,4,9
55188124,LH,2,4,1,5
89332129,LL,1,2,0,3
18088102,LH,4,12,12,4
62238125,LH,10,6,7,9
10942128,LH,0,7,7,0
23112113,LL,0,14,10,4
1075123,LH,7,8,2,13
85576116,LL,3,10,9,4
35155125,LL,3,8,4,7
26225080,LL,1,10,8,3
23143099,LL,7,8,5,11
66472128,LL,1,10,9,2
37842114,LH,5,4,4,5
61117124,LH,2,1,1,2
85298121,LH,5,11,2,14
85458129,LL,5,12,8,9
3591123,LH,3,7,4,6
8775127,LH,10,8,4,14
88156121,LH,5,9,6,9
14769115,LL,6,9,9,6
87612126,LL,4,8,2,10
57521121,LL,3,7,5,5
24582121,LH,6,13,4,15
17070059,LL,10,5,5,11
67899116,LL,3,11,9,6
44827119,LL,3,9,7,5
28582129,LH,4,8,4,8
64687090,LH,5,9,3,11
72794100,LH,7,7,3,11
82885110,LL,7,21,15,13
86170104,LH,4,5,5,5
64944126,LH,4,10,6,8
96314111,LH,6,15,14,7
