current_file:.\parsedData\94792123_a2.txt														
1363905654199.00	0.00	 'system'	 'phetFrame'	 'window'	 'resized'	 'width = 1024'	 'height = 768\n']-> <<BEFORE>> first user action!							
1363905654349.00	0.15	 'system'	 'phetFrame'	 'window'	 'activated'	 '\n']-> <<BEFORE>> first user action!								
1363905661431.00	0.00	 'user'	 'wire.0'	 'sprite'	 'addedComponent'	 '\n']-> 1363905661431:addedComponent.wire -> None	Build	add	wire					
1363905664835.00	3.40	 'user'	 'battery.0'	 'sprite'	 'addedComponent'	 '\n']-> 1363905664835:addedComponent.battery -> None	Build	add	battery					
1363905669530.00	8.10	 'user'	 'wire.0'	 'sprite'	 'movedComponent'	 'x = 5.70077519379845'	 'y = 7.767441860465116'	 'x2 = 7.8352713178294575'	 'y2 = 7.767441860465116\n']-> <<IGNORED!>>					
1363905669537.00	8.11	 'model'	 'junction.36'	 'junction'	 'junctionFormed'	 'component = wire.0.startJunction'	 'component = battery.0.endJunction\n']-> 1363905669537:junctionFormed.junction -> None	Build	join	wire				
1363905670878.00	9.45	 'user'	 'wire.1'	 'sprite'	 'addedComponent'	 '\n']-> 1363905670878:addedComponent.wire -> None	Build	add	wire					
1363905674625.00	13.19	 'model'	 'junction.39'	 'junction'	 'junctionFormed'	 'component = battery.0.startJunction'	 'component = wire.1.endJunction\n']-> 1363905674625:junctionFormed.junction -> None	Build	join	wire				
1363905676537.00	15.11	 'user'	 'wire.2'	 'sprite'	 'addedComponent'	 '\n']-> 1363905676537:addedComponent.wire -> None	Build	add	wire					
1363905678155.00	16.72	 'model'	 'junction.42'	 'junction'	 'junctionFormed'	 'component = wire.0.endJunction'	 'component = wire.2.startJunction\n']-> 1363905678155:junctionFormed.junction -> None	Build	join	wire				
1363905689786.00	28.36	 'user'	 'junction.41'	 'sprite'	 'movedJunction'	 'x = 8.372093023255815'	 'y = 4.124031007751938'	 'component = wire.2.endJunction\n']-> 1363905689786:movedJunction.junction -> None	Organize	organizeWorkspace	junction			
