student	Time Stamp	Action	Component	Nodes	Edges	ResistorValues
10009106	0.0	add	wire	wire.0		
10009106	7.09399986267	add	battery	battery.0,wire.0		
10009106	10.0939998627	add	resistor	battery.0,resistor.0,wire.0		resistor.0=10.0
10009106	28.9219999313	add	resistor	resistor.0,battery.0,resistor.1,wire.0		resistor.1=10.0,resistor.0=10.0
10009106	31.0939998627	add	battery	battery.1,resistor.0,wire.0,battery.0,resistor.1		resistor.1=10.0,resistor.0=10.0
10009106	33.5629999638	add	wire	wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1		resistor.1=10.0,resistor.0=10.0
10009106	77.9529998302	join	wire	wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	84.1879999638	add	wire	wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	85.5939998627	join	wire	wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.2+battery.0,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	90.3589999676	join	wire	wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	94.3279998302	add	wire	wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	95.4219999313	join	wire	wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.3+battery.1,wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	104.030999899	add	wire	wire.4,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.3+battery.1,wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	105.843999863	join	wire	wire.4,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.4+wire.0,wire.3+battery.1,wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	105.858999968	join	wire	wire.4,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.4+wire.2,wire.4+wire.0,wire.3+battery.1,wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	115.07799983	startMeasure	nonContactAmmeter	wire.4,wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.4+wire.2,wire.4+wire.0,wire.3+battery.1,wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	119.358999968	remove	wire	wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.3+battery.1,wire.2+battery.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
10009106	122.687999964	join	resistor	wire.3,wire.2,wire.1,wire.0,resistor.1,resistor.0,battery.0,battery.1	wire.3+battery.1,wire.2+battery.0,wire.2+resistor.0,wire.1+battery.1,wire.0+battery.0	resistor.1=10.0,resistor.0=10.0
