Activity,Student#,Time Stamp,Family,Action,Component,Outcome,#circuits,#circuits_w_battery,#loops,#components,#battery,#circuitSwitch,#grabBagResistor,#lightBulb,#resistor,#seriesAmmeter,current_is_circuit,current_#loops,current_#components,current_#battery,current_#circuitSwitch,current_#grabBagResistor,current_#lightBulb,current_#resistor,current_#seriesAmmeter
a2,10009106,1363981168331,Build,add,wire,None,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981175425,Build,add,battery,None,0,0,0,1,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981178425,Build,add,resistor,None,0,0,0,2,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981178426,pause,pause,pause,pause,0,0,0,2,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981193503,Interface,view,zoom,None,0,0,0,2,1,0,0,0,1,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981197253,Build,add,resistor,None,0,0,0,3,1,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981199425,Build,add,battery,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981201894,Build,add,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981204222,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981206659,Organize,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981210644,Organize,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981212128,Interface,view,zoom,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981213206,Interface,view,zoom,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981217034,Interface,view,zoom,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981221394,Organize,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981224675,Organize,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981228331,Interface,enableComponent,voltmeter,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981229581,Interface,enableComponent,nonContactAmmeter,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981239331,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981246284,Build,join,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981249659,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981252519,Build,add,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981253925,Build,join,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981255722,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981258690,Build,join,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981261644,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981262659,Build,add,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981263753,Build,join,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981266050,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981271315,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981272362,Build,add,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981274175,Build,join,wire,None,0,0,0,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981274190,Revise,join,wire,fire_started,1,1,1,4,2,0,0,0,2,0,N,1,1,1,1,0,0,0,0,0
a2,10009106,1363981280331,Organize,organizeWorkspace,wire,None,1,1,1,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981283409,Test,startMeasure,nonContactAmmeter,deliberate_measure,1,1,1,4,2,0,0,0,2,0,N,1,1,1,1,0,0,0,0,0
a2,10009106,1363981284722,Test,endMeasure,nonContactAmmeter,reading_updated,1,1,1,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981287690,Revise,remove,wire,current_change,0,0,0,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981291019,Build,join,resistor,None,0,0,0,4,2,0,0,0,2,0,N,0,0,2,1,0,0,0,1,0
a2,10009106,1363981298175,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,2,1,0,0,0,1,0
a2,10009106,1363981299081,Organize,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,N,0,0,2,1,0,0,0,1,0
a2,10009106,1363981299097,Revise,join,resistor,current_change,1,1,1,4,2,0,0,0,2,0,N,1,1,2,1,0,0,0,1,0
a2,10009106,1363981313940,Organize,organizeWorkspace,wire,None,1,1,1,4,2,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981316159,Organize,organizeWorkspace,junction,None,1,1,1,4,2,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981317409,Build,add,battery,None,1,1,1,5,3,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981321581,Organize,organizeWorkspace,battery,None,1,1,1,5,3,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981322753,Build,add,wire,None,1,1,1,5,3,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981324128,Build,join,wire,None,1,1,1,5,3,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981325534,Organize,organizeWorkspace,junction,None,1,1,1,5,3,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981326519,Build,add,wire,None,1,1,1,5,3,0,0,0,2,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981327706,Build,join,wire,None,1,1,1,5,3,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981329815,Organize,organizeWorkspace,junction,None,1,1,1,5,3,0,0,0,2,0,N,0,0,1,1,0,0,0,0,0
a2,10009106,1363981331612,Build,add,resistor,None,1,1,1,6,3,0,0,0,3,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981334753,Build,join,resistor,None,1,1,1,6,3,0,0,0,3,0,N,0,0,2,1,0,0,0,1,0
a2,10009106,1363981336019,Build,add,wire,None,1,1,1,6,3,0,0,0,3,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981337253,Build,join,wire,None,1,1,1,6,3,0,0,0,3,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981337284,Build,join,wire,None,1,1,1,6,3,0,0,0,3,0,N,0,0,3,1,0,0,0,2,0
a2,10009106,1363981338878,Organize,organizeWorkspace,junction,None,1,1,1,6,3,0,0,0,3,0,N,0,0,3,1,0,0,0,2,0
a2,10009106,1363981338894,Revise,join,wire,current_change,2,2,2,6,3,0,0,0,3,0,N,1,1,3,1,0,0,0,2,0
a2,10009106,1363981343222,Organize,organizeWorkspace,wire,None,2,2,2,6,3,0,0,0,3,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981344394,Build,add,resistor,None,2,2,2,7,3,0,0,0,4,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981346159,Build,add,resistor,None,2,2,2,8,3,0,0,0,5,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981346972,Build,join,resistor,None,2,2,2,8,3,0,0,0,5,0,N,0,0,2,0,0,0,0,2,0
a2,10009106,1363981347722,Build,add,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981348878,Build,join,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,2,1,0,0,0,1,0
a2,10009106,1363981350222,Organize,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981351503,Revise,split,junction,None,2,2,2,9,3,0,0,0,6,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981352831,Organize,organizeWorkspace,resistor,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981353737,Build,add,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,0,0,0,0,0,0,0
a2,10009106,1363981355019,Build,join,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981356565,Organize,organizeWorkspace,junction,None,2,2,2,9,3,0,0,0,6,0,N,0,0,1,0,0,0,0,1,0
a2,10009106,1363981356597,Build,join,wire,None,2,2,2,9,3,0,0,0,6,0,N,0,0,3,1,0,0,0,2,0
