Activity,student,Time Stamp,Family,Action,Component,Outcome,#circuits,#circuits_w_battery,#loops,#components,#battery,#circuitSwitch,#grabBagResistor,#lightBulb,#resistor,#seriesAmmeter,current_is_circuit,current_#loops,current_#components,current_#battery,current_#circuitSwitch,current_#grabBagResistor,current_#lightBulb,current_#resistor,current_#seriesAmmeter,non_default_resistor_values
a2,10009106,1363981168331,Construct,add,wire,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981175425,Construct,add,battery,None,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981178425,Construct,add,resistor,None,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981178426,pause,pause,pause,pause,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981193503,Interface,view,zoom,None,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981197253,Construct,add,resistor,None,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981199425,Construct,add,battery,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981201894,Construct,add,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981204222,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981206659,Construct,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981210644,Construct,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981212128,Interface,view,zoom,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981213206,Interface,view,zoom,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981217034,Interface,view,zoom,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981221394,Construct,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981224675,Construct,organizeWorkspace,battery,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981228331,Interface,enableComponent,voltmeter,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981229581,Interface,enableComponent,nonContactAmmeter,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981239331,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981246284,Construct,join,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981249659,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981252519,Construct,add,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981253925,Construct,join,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981255722,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981258690,Construct,join,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981261644,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981262659,Construct,add,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981263753,Construct,join,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981266050,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981271315,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981272362,Construct,add,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981274175,Construct,join,wire,None,0,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981274190,Construct,join,wire,fire_started,1,1,1,4,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0
a2,10009106,1363981280331,Construct,organizeWorkspace,wire,None,1,1,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981283409,Test_complex_not,startMeasure,nonContactAmmeter,deliberate_measure,1,1,1,4,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0
a2,10009106,1363981287690,Construct,remove,wire,current_change,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981291019,Construct,join,resistor,None,0,0,0,4,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0
a2,10009106,1363981298175,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0
a2,10009106,1363981299081,Construct,organizeWorkspace,junction,None,0,0,0,4,2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0
a2,10009106,1363981299097,Construct,join,resistor,current_change,1,1,1,4,2,0,0,0,2,0,1,1,2,1,0,0,0,1,0,0
a2,10009106,1363981313940,Construct,organizeWorkspace,wire,None,1,1,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981316159,Construct,organizeWorkspace,junction,None,1,1,1,4,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981317409,Construct,add,battery,None,1,1,1,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981321581,Construct,organizeWorkspace,battery,None,1,1,1,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981322753,Construct,add,wire,None,1,1,1,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981324128,Construct,join,wire,None,1,1,1,5,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981325534,Construct,organizeWorkspace,junction,None,1,1,1,5,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
a2,10009106,1363981326519,Construct,add,wire,None,1,1,1,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
a2,10009106,1363981327706,Construct,join,wire,None,1,1,1,5,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
