seq,group,time,counts
CPCTs,HH,t4,0.0
CPCTs,LH,t4,1.0
CPCTs,LL,t4,3.0
CPTs,HH,t4,2.0
CPTs,LH,t4,2.0
CPTs,LL,t4,2.0
CTbC,HH,t4,1.0
CTbC,LH,t4,7.0
CTbC,LL,t4,4.0
CTbP,HH,t4,1.0
CTbP,LH,t4,3.0
CTbP,LL,t4,1.0
CTbPC,HH,t4,1.0
CTbPC,LH,t4,2.0
CTbPC,LL,t4,1.0
CTcPTcP,HH,t4,0.0
CTcPTcP,LH,t4,1.0
CTcPTcP,LL,t4,0.0
CTsCTs,HH,t4,0.0
CTsCTs,LH,t4,1.0
CTsCTs,LL,t4,3.0
PCTbP,HH,t4,1.0
PCTbP,LH,t4,3.0
PCTbP,LL,t4,1.0
PCTsP,HH,t4,0.0
PCTsP,LH,t4,0.0
PCTsP,LL,t4,0.0
PTb,HH,t4,0.0
PTb,LH,t4,1.0
PTb,LL,t4,1.0
PTsPC,HH,t4,0.0
PTsPC,LH,t4,3.0
PTsPC,LL,t4,1.0
TbCP,HH,t4,0.0
TbCP,LH,t4,2.0
TbCP,LL,t4,1.0
TbP,HH,t4,2.0
TbP,LH,t4,4.0
TbP,LL,t4,2.0
TbPC,HH,t4,1.0
TbPC,LH,t4,3.0
TbPC,LL,t4,2.0
TbPCP,HH,t4,1.0
TbPCP,LH,t4,0.0
TbPCP,LL,t4,2.0
CPCTs,HH,t2,1.0
CPCTs,LH,t2,4.0
CPCTs,LL,t2,3.0
CPTs,HH,t2,4.0
CPTs,LH,t2,6.0
CPTs,LL,t2,3.0
CTbC,HH,t2,1.0
CTbC,LH,t2,4.0
CTbC,LL,t2,7.0
CTbP,HH,t2,1.0
CTbP,LH,t2,1.0
CTbP,LL,t2,3.0
CTbPC,HH,t2,0.0
CTbPC,LH,t2,1.0
CTbPC,LL,t2,1.0
CTcPTcP,HH,t2,4.0
CTcPTcP,LH,t2,11.0
CTcPTcP,LL,t2,5.0
CTsCTs,HH,t2,2.0
CTsCTs,LH,t2,5.0
CTsCTs,LL,t2,10.0
PCTbP,HH,t2,1.0
PCTbP,LH,t2,0.0
PCTbP,LL,t2,2.0
PCTsP,HH,t2,5.0
PCTsP,LH,t2,10.0
PCTsP,LL,t2,2.0
PTb,HH,t2,2.0
PTb,LH,t2,1.0
PTb,LL,t2,3.0
PTsPC,HH,t2,4.0
PTsPC,LH,t2,8.0
PTsPC,LL,t2,4.0
TbCP,HH,t2,1.0
TbCP,LH,t2,1.0
TbCP,LL,t2,2.0
TbP,HH,t2,3.0
TbP,LH,t2,4.0
TbP,LL,t2,3.0
TbPC,HH,t2,1.0
TbPC,LH,t2,4.0
TbPC,LL,t2,1.0
TbPCP,HH,t2,1.0
TbPCP,LH,t2,1.0
TbPCP,LL,t2,0.0
CPCTs,HH,t3,0.0
CPCTs,LH,t3,3.0
CPCTs,LL,t3,3.0
CPTs,HH,t3,1.0
CPTs,LH,t3,1.0
CPTs,LL,t3,0.0
CTbC,HH,t3,1.0
CTbC,LH,t3,4.0
CTbC,LL,t3,2.0
CTbP,HH,t3,2.0
CTbP,LH,t3,3.0
CTbP,LL,t3,5.0
CTbPC,HH,t3,2.0
CTbPC,LH,t3,3.0
CTbPC,LL,t3,5.0
CTcPTcP,HH,t3,2.0
