C,P,T1,T2,Tm,T,group
28,15,25,28,51,104,LH
17,12,11,10,50,71,LH
21,16,6,18,71,95,LL
19,13,9,39,4,52,LL
26,14,17,21,61,99,HH
9,13,9,32,0,41,HH
14,18,7,17,54,78,LH
22,14,0,0,28,28,LL
12,23,0,44,79,123,LL
12,11,9,52,1,62,LL
10,7,0,0,15,15,LH
21,19,0,0,48,48,LL
14,14,6,27,85,118,LH
9,11,18,15,30,63,HH
7,12,0,0,17,17,LH
28,16,6,28,69,103,HH
24,16,4,13,19,36,LL
13,13,1,0,3,4,HH
9,16,0,0,34,34,LL
4,2,1,0,0,1,HH
19,16,0,9,42,51,LH
20,16,11,6,52,69,HH
15,20,9,39,35,83,LL
21,17,4,12,9,25,LL
11,8,14,1,50,65,HH
19,14,0,26,7,33,LL
24,17,12,37,46,95,LL
16,15,2,1,24,27,LH
22,20,12,32,51,95,LH
13,11,17,0,18,35,LL
10,8,1,13,5,19,HH
14,12,9,22,14,45,LH
8,8,2,0,0,2,HH
16,13,8,21,0,29,HL
20,16,5,29,15,49,LL
6,9,12,17,11,40,LH
14,13,3,3,25,31,HH
25,9,12,2,61,75,LL
23,16,19,81,0,100,LH
11,11,1,1,27,29,LH
16,19,14,22,13,49,HH
5,5,0,0,3,3,LL
16,12,3,38,27,68,LH
16,16,1,1,10,12,LH
16,15,4,23,1,28,LH
12,12,3,0,15,18,LL
24,9,9,3,32,44,LH
20,12,23,12,46,81,LL
4,7,9,20,0,29,HH
16,12,0,15,0,15,LL
20,18,6,15,115,136,LH
15,9,2,3,20,25,LH
11,6,1,35,17,53,LH
20,10,7,10,51,68,LL
14,16,6,31,16,53,HH
14,10,0,0,38,38,LH
9,3,0,0,32,32,LH
14,15,3,0,5,8,HH
15,16,10,34,58,102,LH
30,13,8,27,112,147,LL
18,11,0,0,30,30,LL
19,14,3,1,40,44,LH
11,14,17,8,73,98,LH
11,14,2,1,30,33,LH
31,16,13,13,32,58,LL
24,17,0,23,5,28,LL
33,8,8,8,50,66,LL
9,10,15,14,33,62,HH
20,15,0,0,23,23,LL
7,8,5,5,0,10,LH
17,15,27,29,31,87,LH
9,11,0,0,19,19,LL
25,15,12,71,30,113,LH
12,13,0,0,62,62,LH
11,9,0,0,91,91,LL
17,15,8,28,17,53,LL
17,11,11,0,24,35,HH
31,20,25,24,75,124,HL
30,14,28,44,67,139,LL
13,11,0,0,7,7,LL
14,12,0,0,37,37,HH
34,22,11,6,43,60,LL
19,20,6,12,18,36,HH
6,8,0,20,0,20,LH
22,17,27,54,40,121,LH
31,17,3,33,53,89,LL
27,14,5,18,85,108,LL
12,11,7,38,4,49,LH
20,12,1,0,53,54,LL
18,15,7,3,30,40,LH
6,3,5,7,5,17,HH
15,9,12,15,4,31,LL
16,15,7,9,60,76,LH
22,14,5,25,21,51,HH
14,11,3,20,5,28,LH
9,8,1,0,5,6,HL
19,14,9,24,45,78,LH
20,22,6,5,15,26,LH
15,9,0,0,40,40,HH
