timebin,sid,sequence,use,group
0,1075123,CPCTs,0,LH
1,1075123,CPCTs,0,LH
2,1075123,CPCTs,0,LH
3,1075123,CPCTs,0,LH
0,1075123,CPTs,0,LH
1,1075123,CPTs,0,LH
2,1075123,CPTs,1,LH
3,1075123,CPTs,0,LH
0,1075123,CTbC,1,LH
1,1075123,CTbC,0,LH
2,1075123,CTbC,1,LH
3,1075123,CTbC,0,LH
0,1075123,CTbP,1,LH
1,1075123,CTbP,0,LH
2,1075123,CTbP,0,LH
3,1075123,CTbP,0,LH
0,1075123,CTbPC,1,LH
1,1075123,CTbPC,0,LH
2,1075123,CTbPC,0,LH
3,1075123,CTbPC,0,LH
0,1075123,CTcPTcP,0,LH
1,1075123,CTcPTcP,0,LH
2,1075123,CTcPTcP,0,LH
3,1075123,CTcPTcP,0,LH
0,1075123,CTsCTs,0,LH
1,1075123,CTsCTs,0,LH
2,1075123,CTsCTs,0,LH
3,1075123,CTsCTs,0,LH
0,1075123,PCTbP,0,LH
1,1075123,PCTbP,0,LH
2,1075123,PCTbP,0,LH
3,1075123,PCTbP,0,LH
0,1075123,PCTsP,0,LH
1,1075123,PCTsP,0,LH
2,1075123,PCTsP,0,LH
3,1075123,PCTsP,0,LH
0,1075123,PTb,1,LH
1,1075123,PTb,1,LH
2,1075123,PTb,0,LH
3,1075123,PTb,0,LH
0,1075123,PTsPC,0,LH
1,1075123,PTsPC,0,LH
2,1075123,PTsPC,0,LH
3,1075123,PTsPC,1,LH
0,1075123,TbCP,0,LH
1,1075123,TbCP,1,LH
2,1075123,TbCP,1,LH
3,1075123,TbCP,0,LH
0,1075123,TbP,1,LH
1,1075123,TbP,0,LH
2,1075123,TbP,0,LH
3,1075123,TbP,0,LH
0,1075123,TbPC,1,LH
1,1075123,TbPC,0,LH
2,1075123,TbPC,0,LH
3,1075123,TbPC,0,LH
0,1075123,TbPCP,0,LH
1,1075123,TbPCP,0,LH
2,1075123,TbPCP,0,LH
3,1075123,TbPCP,0,LH
0,3591123,CPCTs,1,LH
1,3591123,CPCTs,0,LH
2,3591123,CPCTs,0,LH
3,3591123,CPCTs,0,LH
0,3591123,CPTs,0,LH
1,3591123,CPTs,1,LH
2,3591123,CPTs,0,LH
3,3591123,CPTs,0,LH
0,3591123,CTbC,1,LH
1,3591123,CTbC,0,LH
2,3591123,CTbC,0,LH
3,3591123,CTbC,1,LH
0,3591123,CTbP,1,LH
1,3591123,CTbP,0,LH
2,3591123,CTbP,0,LH
3,3591123,CTbP,0,LH
0,3591123,CTbPC,1,LH
1,3591123,CTbPC,0,LH
2,3591123,CTbPC,0,LH
3,3591123,CTbPC,0,LH
0,3591123,CTcPTcP,0,LH
1,3591123,CTcPTcP,0,LH
2,3591123,CTcPTcP,0,LH
3,3591123,CTcPTcP,0,LH
0,3591123,CTsCTs,0,LH
1,3591123,CTsCTs,0,LH
2,3591123,CTsCTs,0,LH
3,3591123,CTsCTs,0,LH
0,3591123,PCTbP,0,LH
1,3591123,PCTbP,0,LH
2,3591123,PCTbP,0,LH
3,3591123,PCTbP,0,LH
0,3591123,PCTsP,0,LH
1,3591123,PCTsP,0,LH
2,3591123,PCTsP,0,LH
3,3591123,PCTsP,0,LH
0,3591123,PTb,0,LH
1,3591123,PTb,0,LH
2,3591123,PTb,0,LH
3,3591123,PTb,0,LH
0,3591123,PTsPC,0,LH
1,3591123,PTsPC,0,LH
2,3591123,PTsPC,1,LH
3,3591123,PTsPC,0,LH
0,3591123,TbCP,1,LH
1,3591123,TbCP,0,LH
2,3591123,TbCP,0,LH
3,3591123,TbCP,0,LH
0,3591123,TbP,1,LH
1,3591123,TbP,0,LH
2,3591123,TbP,0,LH
3,3591123,TbP,0,LH
0,3591123,TbPC,1,LH
1,3591123,TbPC,0,LH
2,3591123,TbPC,0,LH
3,3591123,TbPC,0,LH
0,3591123,TbPCP,1,LH
1,3591123,TbPCP,0,LH
2,3591123,TbPCP,0,LH
3,3591123,TbPCP,0,LH
0,3932129,CPCTs,0,LL
1,3932129,CPCTs,1,LL
2,3932129,CPCTs,0,LL
3,3932129,CPCTs,0,LL
0,3932129,CPTs,0,LL
1,3932129,CPTs,0,LL
2,3932129,CPTs,0,LL
3,3932129,CPTs,0,LL
0,3932129,CTbC,1,LL
1,3932129,CTbC,0,LL
2,3932129,CTbC,0,LL
3,3932129,CTbC,0,LL
0,3932129,CTbP,1,LL
1,3932129,CTbP,0,LL
2,3932129,CTbP,0,LL
3,3932129,CTbP,1,LL
0,3932129,CTbPC,1,LL
1,3932129,CTbPC,0,LL
2,3932129,CTbPC,0,LL
3,3932129,CTbPC,1,LL
0,3932129,CTcPTcP,0,LL
1,3932129,CTcPTcP,0,LL
2,3932129,CTcPTcP,0,LL
3,3932129,CTcPTcP,0,LL
0,3932129,CTsCTs,0,LL
1,3932129,CTsCTs,1,LL
2,3932129,CTsCTs,0,LL
3,3932129,CTsCTs,0,LL
0,3932129,PCTbP,0,LL
1,3932129,PCTbP,0,LL
2,3932129,PCTbP,0,LL
3,3932129,PCTbP,1,LL
0,3932129,PCTsP,0,LL
1,3932129,PCTsP,0,LL
2,3932129,PCTsP,0,LL
3,3932129,PCTsP,0,LL
0,3932129,PTb,0,LL
1,3932129,PTb,0,LL
2,3932129,PTb,0,LL
3,3932129,PTb,0,LL
0,3932129,PTsPC,0,LL
1,3932129,PTsPC,0,LL
2,3932129,PTsPC,0,LL
3,3932129,PTsPC,0,LL
0,3932129,TbCP,0,LL
1,3932129,TbCP,0,LL
2,3932129,TbCP,0,LL
3,3932129,TbCP,0,LL
0,3932129,TbP,1,LL
1,3932129,TbP,0,LL
2,3932129,TbP,0,LL
3,3932129,TbP,1,LL
0,3932129,TbPC,1,LL
1,3932129,TbPC,0,LL
2,3932129,TbPC,0,LL
3,3932129,TbPC,1,LL
0,3932129,TbPCP,1,LL
1,3932129,TbPCP,0,LL
2,3932129,TbPCP,0,LL
3,3932129,TbPCP,1,LL
0,4762120,CPCTs,0,LL
1,4762120,CPCTs,0,LL
2,4762120,CPCTs,0,LL
3,4762120,CPCTs,0,LL
0,4762120,CPTs,0,LL
1,4762120,CPTs,0,LL
2,4762120,CPTs,0,LL
3,4762120,CPTs,0,LL
0,4762120,CTbC,0,LL
1,4762120,CTbC,1,LL
2,4762120,CTbC,0,LL
3,4762120,CTbC,0,LL
0,4762120,CTbP,1,LL
1,4762120,CTbP,0,LL
2,4762120,CTbP,0,LL
3,4762120,CTbP,0,LL
0,4762120,CTbPC,0,LL
1,4762120,CTbPC,0,LL
2,4762120,CTbPC,0,LL
3,4762120,CTbPC,0,LL
0,4762120,CTcPTcP,0,LL
1,4762120,CTcPTcP,0,LL
2,4762120,CTcPTcP,0,LL
3,4762120,CTcPTcP,0,LL
0,4762120,CTsCTs,1,LL
1,4762120,CTsCTs,1,LL
2,4762120,CTsCTs,0,LL
3,4762120,CTsCTs,0,LL
0,4762120,PCTbP,0,LL
1,4762120,PCTbP,0,LL
2,4762120,PCTbP,0,LL
3,4762120,PCTbP,0,LL
0,4762120,PCTsP,1,LL
1,4762120,PCTsP,0,LL
2,4762120,PCTsP,0,LL
3,4762120,PCTsP,0,LL
0,4762120,PTb,1,LL
1,4762120,PTb,0,LL
2,4762120,PTb,0,LL
