timebin,sid,sequence,use,group
0,1075123,CPCPCP,0,LH
1,1075123,CPCPCP,0,LH
2,1075123,CPCPCP,0,LH
3,1075123,CPCPCP,0,LH
0,1075123,CPCPCPC,0,LH
1,1075123,CPCPCPC,0,LH
2,1075123,CPCPCPC,0,LH
3,1075123,CPCPCPC,0,LH
0,1075123,CPCTcC,0,LH
1,1075123,CPCTcC,0,LH
2,1075123,CPCTcC,0,LH
3,1075123,CPCTcC,0,LH
0,1075123,CPCTs,0,LH
1,1075123,CPCTs,0,LH
2,1075123,CPCTs,0,LH
3,1075123,CPCTs,0,LH
0,1075123,CPTs,0,LH
1,1075123,CPTs,0,LH
2,1075123,CPTs,1,LH
3,1075123,CPTs,0,LH
0,1075123,CTcCTcP,0,LH
1,1075123,CTcCTcP,0,LH
2,1075123,CTcCTcP,0,LH
3,1075123,CTcCTcP,0,LH
0,1075123,CTsCTs,0,LH
1,1075123,CTsCTs,0,LH
2,1075123,CTsCTs,0,LH
3,1075123,CTsCTs,0,LH
0,1075123,CTsPC,0,LH
1,1075123,CTsPC,0,LH
2,1075123,CTsPC,0,LH
3,1075123,CTsPC,0,LH
0,1075123,PCTbP,0,LH
1,1075123,PCTbP,0,LH
2,1075123,PCTbP,0,LH
3,1075123,PCTbP,0,LH
0,1075123,PTcC,0,LH
1,1075123,PTcC,0,LH
2,1075123,PTcC,0,LH
3,1075123,PTcC,1,LH
0,1075123,PTcCTc,0,LH
1,1075123,PTcCTc,0,LH
2,1075123,PTcCTc,0,LH
3,1075123,PTcCTc,1,LH
0,1075123,PTsP,0,LH
1,1075123,PTsP,0,LH
2,1075123,PTsP,0,LH
3,1075123,PTsP,1,LH
0,1075123,PTsPC,0,LH
1,1075123,PTsPC,0,LH
2,1075123,PTsPC,0,LH
3,1075123,PTsPC,1,LH
0,1075123,TbPCP,0,LH
1,1075123,TbPCP,0,LH
2,1075123,TbPCP,0,LH
3,1075123,TbPCP,0,LH
0,1075123,TcCPC,0,LH
1,1075123,TcCPC,0,LH
2,1075123,TcCPC,0,LH
3,1075123,TcCPC,0,LH
0,3591123,CPCPCP,0,LH
1,3591123,CPCPCP,0,LH
2,3591123,CPCPCP,0,LH
3,3591123,CPCPCP,0,LH
0,3591123,CPCPCPC,0,LH
1,3591123,CPCPCPC,0,LH
2,3591123,CPCPCPC,0,LH
3,3591123,CPCPCPC,0,LH
0,3591123,CPCTcC,0,LH
1,3591123,CPCTcC,0,LH
2,3591123,CPCTcC,0,LH
3,3591123,CPCTcC,0,LH
0,3591123,CPCTs,1,LH
1,3591123,CPCTs,0,LH
2,3591123,CPCTs,0,LH
3,3591123,CPCTs,0,LH
0,3591123,CPTs,0,LH
1,3591123,CPTs,1,LH
2,3591123,CPTs,0,LH
3,3591123,CPTs,0,LH
0,3591123,CTcCTcP,0,LH
1,3591123,CTcCTcP,0,LH
2,3591123,CTcCTcP,0,LH
3,3591123,CTcCTcP,0,LH
0,3591123,CTsCTs,0,LH
1,3591123,CTsCTs,0,LH
2,3591123,CTsCTs,0,LH
3,3591123,CTsCTs,0,LH
0,3591123,CTsPC,0,LH
1,3591123,CTsPC,0,LH
2,3591123,CTsPC,0,LH
3,3591123,CTsPC,0,LH
0,3591123,PCTbP,0,LH
1,3591123,PCTbP,0,LH
2,3591123,PCTbP,0,LH
3,3591123,PCTbP,0,LH
0,3591123,PTcC,0,LH
1,3591123,PTcC,0,LH
2,3591123,PTcC,0,LH
3,3591123,PTcC,0,LH
0,3591123,PTcCTc,0,LH
1,3591123,PTcCTc,0,LH
2,3591123,PTcCTc,0,LH
3,3591123,PTcCTc,0,LH
0,3591123,PTsP,0,LH
1,3591123,PTsP,0,LH
2,3591123,PTsP,1,LH
3,3591123,PTsP,0,LH
0,3591123,PTsPC,0,LH
1,3591123,PTsPC,0,LH
2,3591123,PTsPC,1,LH
3,3591123,PTsPC,0,LH
0,3591123,TbPCP,1,LH
1,3591123,TbPCP,0,LH
2,3591123,TbPCP,0,LH
3,3591123,TbPCP,0,LH
0,3591123,TcCPC,0,LH
1,3591123,TcCPC,0,LH
2,3591123,TcCPC,0,LH
3,3591123,TcCPC,0,LH
0,3932129,CPCPCP,0,LL
1,3932129,CPCPCP,0,LL
2,3932129,CPCPCP,0,LL
3,3932129,CPCPCP,0,LL
0,3932129,CPCPCPC,0,LL
1,3932129,CPCPCPC,0,LL
2,3932129,CPCPCPC,0,LL
3,3932129,CPCPCPC,0,LL
0,3932129,CPCTcC,0,LL
1,3932129,CPCTcC,0,LL
2,3932129,CPCTcC,0,LL
3,3932129,CPCTcC,0,LL
0,3932129,CPCTs,0,LL
1,3932129,CPCTs,1,LL
2,3932129,CPCTs,0,LL
3,3932129,CPCTs,0,LL
0,3932129,CPTs,0,LL
1,3932129,CPTs,0,LL
2,3932129,CPTs,0,LL
3,3932129,CPTs,0,LL
0,3932129,CTcCTcP,0,LL
1,3932129,CTcCTcP,0,LL
2,3932129,CTcCTcP,0,LL
3,3932129,CTcCTcP,0,LL
0,3932129,CTsCTs,0,LL
1,3932129,CTsCTs,1,LL
2,3932129,CTsCTs,0,LL
3,3932129,CTsCTs,0,LL
0,3932129,CTsPC,0,LL
1,3932129,CTsPC,0,LL
2,3932129,CTsPC,0,LL
3,3932129,CTsPC,0,LL
0,3932129,PCTbP,0,LL
1,3932129,PCTbP,0,LL
2,3932129,PCTbP,0,LL
3,3932129,PCTbP,1,LL
0,3932129,PTcC,1,LL
1,3932129,PTcC,0,LL
2,3932129,PTcC,1,LL
3,3932129,PTcC,0,LL
0,3932129,PTcCTc,1,LL
1,3932129,PTcCTc,0,LL
2,3932129,PTcCTc,1,LL
3,3932129,PTcCTc,0,LL
0,3932129,PTsP,0,LL
1,3932129,PTsP,0,LL
2,3932129,PTsP,0,LL
3,3932129,PTsP,0,LL
0,3932129,PTsPC,0,LL
1,3932129,PTsPC,0,LL
2,3932129,PTsPC,0,LL
3,3932129,PTsPC,0,LL
0,3932129,TbPCP,1,LL
1,3932129,TbPCP,0,LL
2,3932129,TbPCP,0,LL
3,3932129,TbPCP,1,LL
0,3932129,TcCPC,0,LL
1,3932129,TcCPC,1,LL
2,3932129,TcCPC,0,LL
3,3932129,TcCPC,0,LL
0,4762120,CPCPCP,0,LL
1,4762120,CPCPCP,0,LL
2,4762120,CPCPCP,0,LL
3,4762120,CPCPCP,0,LL
0,4762120,CPCPCPC,0,LL
1,4762120,CPCPCPC,0,LL
2,4762120,CPCPCPC,0,LL
3,4762120,CPCPCPC,0,LL
0,4762120,CPCTcC,0,LL
1,4762120,CPCTcC,0,LL
2,4762120,CPCTcC,0,LL
3,4762120,CPCTcC,0,LL
0,4762120,CPCTs,0,LL
1,4762120,CPCTs,0,LL
2,4762120,CPCTs,0,LL
3,4762120,CPCTs,0,LL
