Question	Response	Collector	project_Title	Name of PI or project lead(s)	Please enter your name	Type of Project	Project Stage	Year Awarded	Faculty_School	Department	Short description of project	Course Format	Course_Level	Course Type	Enrolment Cap	Course Location	source	target	source long name	target long name	value	matrix
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Course specific knowledge	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Lifelong learning skills	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Attitudes and motivation	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Actions and behaviours (e.g.,time on task, enrolment)"	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Active learning - short activities	Actions and behaviours	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.10] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Increase of student choice (e.g., choice of activities, grading)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Other innovation	Course specific knowledge	Other Innovation	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.12] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Peer assessment/feedback (e.g., paper essays, PeerWise)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Assessment - peer feedback	Lifelong learning skills	"Assessment - peer feedback (e.g., PeerWise, Calibrated Peer Review)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Attitude surveys	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Course specific knowledge	Attitude surveys	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Attitude surveys	1	impactXapproach
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Knowledge tests	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Course specific knowledge	Knowledge tests	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Knowledge tests	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Attitude surveys	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Attitude surveys	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Attitude surveys	1	impactXapproach
"[IMP_APP.2] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Professional competencies (e.g., appropriate use of procedural/clinical skills)"	Knowledge tests	EvalViz_SotlSeed	Negotiating Change: Determining the readiness of second-year students for self-directed learning.	Gail Hammond; Alice Cassidy	N/A	SoTL seed	Planning	2015	"Land and Food Systems, Faculty of"	"Food, Nutrition & Health"	"This project is unique in being a multi-level needs assessment that investigates the experiences, understanding and perceptions of self-directed learning (SDL) held by current students registered in two large introductory nutrition classes (same course) and current teaching assistants who were former students in the course. The implications of this research will determine opportunities for developing greater student autonomy in learning early in a 4-year undergraduate program."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Knowledge tests	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Knowledge tests	1	impactXapproach
