studentID	condition	subject	video	cumulative watched	fraction watched	fraction rewatched	number of 2 sec segments	moused over filmstrip	clicked filmstrip	enlarged filmstrip	highlighted in subtitleviewer	highlighted from video	highlighted total	played highlights	searched	clicked subtitleviewer
00510512-77-81-43-AF-3D.xml	2	CS	5_PausingProgramsWithSleep1.mp4	402	1.0	0.0	None	0	0	0	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	8_DAQSimulatorDemo1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	3_SevenSegmentDisplays.mp4	386	1.0	0.0	None	1	0	0	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	0_IntroductionToTheDataAcquisitionDevice(DAQ).mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	1_IntroductionToDAQProgramming.mp4	536	1.0	0.276	None	64	2	0	0	3	3	2	0	5
00510512-77-81-43-AF-3D.xml	2	CS	9_PlottingGraphsWithExcel1.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	2_DigitalReadAndWrite.mp4	386	1.0	0.098	None	11	2	0	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	4_Programming7SegmentDisplays.mp4	216	1.0	0.0	None	0	0	1	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	7_DAQReview.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
00510512-77-81-43-AF-3D.xml	2	CS	6_AnalogRead.mp4	411	1.0	0.3	None	0	0	0	0	1	1	0	0	0
01418160c54706dfc2.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	8	0.007	0.0	None	0	0	0	0	0	0	0	0	0
01418160c54706dfc2.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
014372F0-76-1C-0E-1C-8E.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	10	0.009	0.0	None	0	0	0	0	0	0	0	0	0
014372F0-76-1C-0E-1C-8E.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
0344-6D-57-6A-35-1B.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	59	0.039	0.022	None	15	2	0	0	0	0	0	0	0
0344-6D-57-6A-35-1B.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
