studentID	condition	subject	video	cumulative watched	fraction watched	percent rewatched	number of 2 sec segments	moused over filmstrip	clicked filmstrip	enlarged filmstrip	highlighted in subtitleviewer	highlighted from video	highlighted total	played highlights	searched	clicked subtitleviewer
01418160c54706dfc2.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	8	0.007	0.0	None	0	0	0	0	0	0	0	0	0
01418160c54706dfc2.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
014372F0-76-1C-0E-1C-8E.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	10	0.009	0.0	None	0	0	0	0	0	0	0	0	0
014372F0-76-1C-0E-1C-8E.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
0344-6D-57-6A-35-1B.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	59	0.039	0.022	None	15	2	0	0	0	0	0	0	0
0344-6D-57-6A-35-1B.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
05429656-8E-8F-94-1C-9D.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	1520	1.0	0.459	None	895	13	0	0	0	0	0	0	0
05429656-8E-8F-94-1C-9D.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	2484	0.999	0.544	None	1145	32	0	0	0	0	0	0	2
054718a45e60c9858b.xml	2	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	120	0.044	0.099	None	17	8	0	0	2	2	1	0	0
054718a45e60c9858b.xml	2	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	8	0.004	0.0	None	1	0	0	0	0	0	0	0	0
0657548C-A9-82-30-83-91.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	135	0.07	0.088	None	9	4	2	0	0	0	0	0	0
0657548C-A9-82-30-83-91.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	1600	0.688	0.256	None	179	33	0	0	0	0	0	0	11
10583798fe944d6dfc.xml	1	PHI	JJ Thomson, Bystander at the Switch and Loop Trolley Problems.mp4	405	0.997	0.071	None	1	1	1	0	0	0	0	0	0
10583798fe944d6dfc.xml	1	PHI	JJ Thomson, 'fat man' trolley problem.mp4	316	1.0	0.0	None	320	0	0	0	0	0	0	0	0
10583798fe944d6dfc.xml	1	PHI	Philippa Foot, Trolley Driver and Transplant Problems.mp4	362	1.0	0.0	None	77	0	1	0	0	0	0	0	0
12,59,8952-10-B3-71-7B-B2.xml	1	ENG	(A draft) The MOSFET (part 1 of 3)-U2wWpLQACo8.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
12,59,8952-10-B3-71-7B-B2.xml	1	ENG	The FET (field effect transistor)-SjeK1nkiFvI.mp4	0	0.0	0.0	None	0	0	0	0	0	0	0	0	0
125764c0cecde7d5c1.xml	1	PHI	JJ Thomson, Bystander at the Switch and Loop Trolley Problems.mp4	391	0.997	0.0	None	0	0	0	0	0	0	0	0	0
125764c0cecde7d5c1.xml	1	PHI	JJ Thomson, 'fat man' trolley problem.mp4	316	1.0	0.0	None	0	0	0	0	0	0	0	0	0
125764c0cecde7d5c1.xml	1	PHI	Philippa Foot, Trolley Driver and Transplant Problems.mp4	362	1.0	0.0	None	0	0	0	0	0	0	0	0	0
